topic,file,title,year,source_url,why_it_matters
qaoa_vqa,../papers/02_qaoa_vqa_algorithms/bravyi_2020_obstacles_variational_quantum_optimization_rqaoa.pdf,Obstacles to Variational Quantum Optimization from Symmetry Protection,2020,https://arxiv.org/abs/1910.08980,R-QAOA and limitations of variational optimization
constraints_encodings,../papers/03_constraints_and_encodings/hen_spedalieri_2016_quantum_annealing_constrained_optimization.pdf,Quantum Annealing for Constrained Optimization,2016,https://arxiv.org/abs/1508.04212,Constraint-preserving or penalty-aware annealing
constraints_encodings,../papers/03_constraints_and_encodings/montanez_barrera_2022_unbalanced_penalization_inequality_constraints.pdf,Unbalanced penalization: a new approach to encode inequality constraints of combinatorial problems for quantum optimization algorithms,2022,https://arxiv.org/abs/2211.13914,Inequality constraints without excessive slack-variable overhead
constraints_encodings,../papers/03_constraints_and_encodings/montanez_barrera_2023_unbalanced_penalization_dwave.pdf,Unbalanced penalization: experiments with D-Wave quantum annealers,2023,https://arxiv.org/abs/2305.18757,Empirical constrained-QUBO penalty behavior
constraints_encodings,../papers/03_constraints_and_encodings/chancellor_2019_domain_wall_encoding.pdf,Domain wall encoding of discrete variables for quantum annealing and QAOA,2019,https://arxiv.org/abs/1903.05068,Efficient multi-valued variable encoding
constraints_encodings,../papers/03_constraints_and_encodings/chen_2021_domain_wall_encoding_performance.pdf,Performance of domain-wall encoding for quantum annealing,2021,https://arxiv.org/abs/2102.12224,Encoding performance comparison
constraints_encodings,../papers/03_constraints_and_encodings/fuchs_2022_constrained_mixers_qaoa.pdf,Constrained mixers for QAOA,2022,https://arxiv.org/abs/2203.06095,Designing mixers that preserve feasibility
constraints_encodings,../papers/03_constraints_and_encodings/bucher_2026_iterative_warm_start_xy_mixers.pdf,Iterative warm-starting with XY mixers for constrained QAOA,2026,https://arxiv.org/abs/2604.02083,Warm-start and constrained-mixer route
milp_miqp_hybrid,../papers/04_milp_miqp_hybrid/braine_2021_mixed_binary_optimization_transaction_settlement.pdf,Quantum algorithms for mixed binary optimization applied to transaction settlement,2021,https://arxiv.org/abs/1910.05788,Mixed-binary real-world hybrid decomposition
milp_miqp_hybrid,../papers/04_milp_miqp_hybrid/gambella_2021_multiblock_admm_mixed_binary_optimization.pdf,Exploring multi-block ADMM approaches for mixed-binary optimization with classical and quantum annealers,2021,https://arxiv.org/abs/2001.02069,ADMM decomposition for mixed binary problems
milp_miqp_hybrid,../papers/04_milp_miqp_hybrid/brown_2022_copositive_mixed_binary_quadratic_ising_solvers.pdf,Mixed-binary quadratic optimization with Ising solvers,2022,https://arxiv.org/abs/2207.13630,MIQP/MBQP to Ising-solver perspective
power_unit_commitment,../papers/05_power_unit_commitment/koretsky_2021_qaoa_unit_commitment.pdf,Adapting the Quantum Approximate Optimization Algorithm for unit commitment,2021,https://arxiv.org/abs/2110.12624,Power-system unit commitment with QAOA
power_unit_commitment,../papers/05_power_unit_commitment/mahroo_2022_hybrid_quantum_classical_unit_commitment.pdf,Hybrid quantum-classical unit commitment,2022,https://par.nsf.gov/biblio/10393506,Hybrid workflow for power unit commitment
power_unit_commitment,../papers/05_power_unit_commitment/hong_2025_qubit_efficient_quantum_annealing_stochastic_unit_commitment.pdf,Qubit-efficient quantum annealing approach for stochastic unit commitment,2025,https://arxiv.org/abs/2502.15917,Qubit-efficient stochastic UC formulation
power_unit_commitment,../papers/05_power_unit_commitment/zhou_2025_problem_structure_informed_qaoa_unit_commitment.pdf,Problem-structure-informed QAOA for unit commitment,2025,https://arxiv.org/abs/2503.20509,Structure-informed ansatz for UC
scheduling,../papers/06_scheduling/venturelli_2015_quantum_annealing_job_shop_scheduling.pdf,Quantum annealing implementation of job-shop scheduling,2015,https://arxiv.org/abs/1506.08479,Canonical quantum annealing job-shop scheduling paper
scheduling,../papers/06_scheduling/schworm_2023_multi_objective_quantum_annealing_flexible_job_shop.pdf,Solving flexible job shop scheduling with multi-objective quantum annealing,2023,https://arxiv.org/abs/2311.09637,Flexible job shop and multi-objective formulation
scheduling,../papers/06_scheduling/lopez_ruiz_2025_non_variational_quantum_job_shop_scheduling.pdf,Non-variational quantum algorithms for job shop scheduling,2025,https://arxiv.org/abs/2510.26859,Alternative quantum route for scheduling
scheduling,../papers/06_scheduling/sawamura_2025_quantum_classical_hybrid_multi_objective_job_shop.pdf,Quantum-classical hybrid multi-objective job shop scheduling,2025,https://arxiv.org/abs/2511.03257,Hybrid multi-objective scheduling workflow
logistics_vrp,../papers/07_logistics_vrp/feld_2019_hybrid_cvrp_quantum_annealer.pdf,A hybrid solution method for the capacitated vehicle routing problem using a quantum annealer,2019,https://www.frontiersin.org/articles/10.3389/fict.2019.00013/full,Hybrid CVRP reference
logistics_vrp,../papers/07_logistics_vrp/tambunan_2022_quantum_annealing_vrp_weighted_segment.pdf,Quantum annealing for vehicle routing using weighted segment formulation,2022,https://arxiv.org/abs/2203.13469,VRP route segment formulation
logistics_vrp,../papers/07_logistics_vrp/qubit_efficient_quantum_algorithms_vrp_2023.pdf,Qubit-efficient quantum algorithms for vehicle routing,2023,https://arxiv.org/abs/2306.08507,Qubit-efficient VRP modeling
logistics_vrp,../papers/07_logistics_vrp/holliday_2025_quantum_annealing_vrp_time_windows.pdf,Quantum annealing for vehicle routing problems with time windows,2025,https://arxiv.org/abs/2503.24285,VRPTW constraints
logistics_vrp,../papers/07_logistics_vrp/azfar_2025_qaoa_vehicle_routing.pdf,QAOA for vehicle routing,2025,https://arxiv.org/abs/2505.01614,QAOA logistics route reference
finance_portfolio,../papers/08_finance_portfolio/sakuler_2023_real_world_portfolio_quantum_annealing.pdf,Real-world portfolio optimization with quantum annealing,2023,https://arxiv.org/abs/2303.12601,Finance use case with realistic constraints
finance_portfolio,../papers/08_finance_portfolio/chen_2023_portfolio_qaoa_hard_constraint_binary_encoding.pdf,Portfolio optimization with QAOA using hard-constraint-preserving binary encoding,2023,https://arxiv.org/abs/2304.06915,Hard constraints for portfolio QAOA
finance_portfolio,../papers/08_finance_portfolio/yao_2023_fermionic_qaoa_portfolio.pdf,Fermionic QAOA for portfolio optimization,2023,https://arxiv.org/abs/2301.10756,Fixed-cardinality portfolio constraints
finance_portfolio,../papers/08_finance_portfolio/morapakula_2025_end_to_end_portfolio_quantum_annealing.pdf,End-to-end portfolio optimization with quantum annealing,2025,https://arxiv.org/abs/2504.08843,End-to-end demo pipeline for portfolio optimization
finance_portfolio,../papers/08_finance_portfolio/mancilla_2026_constrained_portfolio_qaoa_xy_mixers.pdf,Constrained portfolio optimization with QAOA and XY mixers,2026,https://arxiv.org/abs/2602.14827,XY mixers for constrained finance MIQP
